Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-11-22,82.15,82.87,80.68,81.74,324513,0,0
2010-11-23,81.61,82.1,80.28,81.25,290222,0,0
2010-11-24,80.99,84.2,80.97,83.86,351860,0,0
2010-11-29,83.9,85.83,83.59,85.73,174178,0,0
2010-11-30,85.81,85.9,83.55,84.11,335800,0,0
2010-12-01,83.66,86.95,83.63,86.75,338358,0,0
2010-12-02,86.8,88.13,86.27,88.0,340736,0,0
2010-12-03,87.94,89.49,87.14,89.19,330642,0,0
2010-12-06,89.44,89.76,88.56,89.38,354635,0,0
2010-12-07,88.92,90.76,88.1,88.69,293836,0,0
2010-12-08,88.35,88.99,87.33,88.28,462689,0,0
2010-12-09,88.55,89.42,87.71,88.37,383144,0,0
2010-12-10,88.51,89.0,87.1,87.79,353964,0,0
2010-12-13,87.68,89.49,87.44,88.61,313842,0,0
2010-12-14,88.19,88.95,87.74,88.28,329766,0,0
2010-12-15,88.28,89.09,86.83,88.62,281851,0,0
2010-12-16,88.48,88.65,87.63,87.7,355056,0,0
2010-12-17,87.87,88.52,87.01,88.02,221145,0,0
2010-12-20,88.18,88.98,87.26,88.81,152396,0,0
2010-12-21,89.22,89.97,89.06,89.82,265975,0,0
2010-12-22,89.99,90.8,89.85,90.48,187321,0,0
2010-12-23,90.61,91.63,90.33,91.51,187386,0,0
2010-12-27,91.07,91.88,90.51,91.0,145007,0,0
2010-12-28,90.79,91.67,90.75,91.49,104321,0,0
2010-12-29,91.27,91.53,90.8,91.12,104415,0,0
2010-12-30,90.98,91.4,89.02,89.84,117853,0,0
2010-12-31,89.67,92.06,89.05,91.38,209645,0,0
2011-01-03,91.31,92.58,91.21,91.55,171010,0,0
2011-01-04,91.5,92.07,88.36,89.38,225189,0,0
2011-01-05,89.29,90.84,88.1,90.3,415521,0,0
2011-01-06,90.47,90.71,87.85,88.38,416908,0,0
2011-01-07,88.18,89.48,87.25,88.03,440456,0,0
2011-01-10,89.0,89.98,88.13,89.25,444813,0,0
2011-01-11,89.31,91.39,88.93,91.11,430277,0,0
2011-01-12,91.18,92.39,90.79,91.86,429761,0,0
2011-01-13,92.0,92.37,90.75,91.4,382686,0,0
2011-01-14,90.99,91.69,90.1,91.54,358898,0,0
2011-01-18,91.51,91.9,90.55,91.38,313331,0,0
2011-01-19,91.34,92.1,90.47,90.86,211930,0,0
2011-01-20,90.7,90.86,88.0,88.86,109525,0,0
2011-01-21,89.45,90.22,88.87,89.11,442041,0,0
2011-01-24,89.26,89.63,87.27,87.87,287810,0,0
2011-01-25,87.7,87.85,86.12,86.19,356085,0,0
2011-01-26,86.23,87.78,86.03,87.33,338646,0,0
2011-01-27,87.55,87.66,85.42,85.64,347753,0,0
2011-01-28,85.28,89.73,85.11,89.34,369379,0,0
2011-01-31,89.97,92.84,88.4,92.19,584789,0,0
2011-02-01,92.2,92.45,90.44,90.77,436801,0,0
2011-02-02,90.51,91.78,90.1,90.86,392882,0,0
2011-02-03,90.93,92.05,90.0,90.54,312107,0,0
2011-02-04,90.63,91.67,88.45,89.03,290494,0,0
2011-02-07,89.06,89.54,87.18,87.48,359925,0,0
2011-02-08,87.41,88.11,85.88,86.94,324984,0,0
2011-02-09,87.35,87.95,86.36,86.71,414877,0,0
2011-02-10,86.93,87.9,85.96,86.73,367209,0,0
2011-02-11,87.7,87.77,85.1,85.58,419188,0,0
2011-02-14,85.5,86.52,84.58,84.81,383391,0,0
2011-02-15,84.84,85.97,83.85,84.32,319329,0,0
2011-02-16,84.44,85.95,84.12,84.99,284165,0,0
2011-02-17,85.25,86.63,84.38,86.36,297660,0,0
2011-02-18,86.4,87.88,85.65,86.2,176128,0,0
2011-02-22,86.38,94.49,86.25,93.57,155296,0,0
2011-02-23,95.68,100.0,95.14,98.1,638193,0,0
2011-02-24,98.97,103.41,95.62,97.28,489667,0,0
2011-02-25,96.63,99.2,96.17,97.88,507456,0,0
2011-02-28,98.5,99.96,96.71,96.97,307903,0,0
2011-03-01,96.97,100.68,96.37,99.63,262001,0,0
2011-03-02,100.48,102.43,99.21,102.23,322429,0,0
2011-03-03,102.39,102.94,100.15,101.91,446378,0,0
2011-03-04,101.7,105.17,101.54,104.42,382555,0,0
2011-03-07,104.65,106.95,104.25,105.44,369148,0,0
2011-03-08,104.85,105.79,103.33,105.02,404435,0,0
2011-03-09,104.96,105.92,103.9,104.38,420036,0,0
2011-03-10,104.45,105.06,100.62,102.7,353948,0,0
2011-03-11,102.64,103.0,99.01,101.16,432988,0,0
2011-03-14,100.31,101.6,98.47,101.19,342531,0,0
2011-03-15,101.86,101.87,96.71,97.18,289434,0,0
2011-03-16,97.4,99.6,96.22,97.98,388736,0,0
2011-03-17,98.1,101.99,96.6,101.42,357944,0,0
2011-03-18,101.78,103.66,100.14,101.07,261573,0,0
2011-03-21,102.12,103.35,101.66,102.33,217675,0,0
2011-03-22,102.1,104.54,101.43,104.0,103960,0,0
2011-03-23,104.85,106.34,104.38,105.75,303365,0,0
2011-03-24,105.52,106.69,104.76,105.6,254571,0,0
2011-03-25,105.46,105.95,104.5,105.4,258015,0,0
2011-03-28,105.43,105.76,103.6,103.98,235658,0,0
2011-03-29,103.94,105.0,102.7,104.79,223079,0,0
2011-03-30,104.45,105.15,103.44,104.27,246824,0,0
2011-03-31,104.31,106.83,104.12,106.72,256895,0,0
2011-04-01,106.62,108.23,106.3,107.94,270630,0,0
2011-04-04,108.29,108.78,107.58,108.47,283710,0,0
2011-04-05,108.2,108.6,107.5,108.34,228494,0,0
2011-04-06,107.99,109.15,107.72,108.83,249358,0,0
2011-04-07,108.67,110.44,108.23,110.3,255598,0,0
2011-04-08,110.32,113.18,110.11,112.79,334906,0,0
2011-04-11,113.28,113.46,108.88,109.92,319475,0,0
2011-04-12,108.97,110.24,105.47,106.25,364348,0,0
2011-04-13,106.02,107.43,105.31,107.11,555625,0,0
2011-04-14,107.32,108.55,105.77,108.11,456863,0,0
2011-04-15,108.45,110.1,107.21,109.66,352072,0,0
2011-04-18,109.43,109.44,106.54,107.12,224394,0,0
2011-04-19,107.52,108.45,105.5,108.15,138178,0,0
2011-04-20,108.45,111.66,107.96,111.45,324778,0,0
2011-04-21,111.37,112.48,111.0,112.29,291546,0,0
2011-04-25,112.34,113.48,111.08,112.28,240462,0,0
2011-04-26,112.15,112.64,111.12,112.21,209683,0,0
2011-04-27,111.89,113.4,110.71,112.76,234441,0,0
2011-04-28,113.13,113.97,111.69,112.86,338697,0,0
2011-04-29,112.82,114.18,112.25,113.93,301604,0,0
2011-05-02,113.89,114.83,110.82,113.52,201831,0,0
2011-05-03,112.98,113.22,110.3,111.05,310994,0,0
2011-05-04,110.68,111.22,108.48,109.24,300333,0,0
2011-05-05,108.78,109.38,98.25,99.8,333018,0,0
2011-05-06,99.76,102.38,94.63,97.18,670082,0,0
2011-05-09,98.11,103.4,97.42,102.55,606528,0,0
2011-05-10,102.44,103.95,100.12,103.88,469290,0,0
2011-05-11,103.69,104.6,97.5,98.21,439607,0,0
2011-05-12,98.59,100.49,95.25,98.97,524761,0,0
2011-05-13,98.81,100.7,97.09,99.65,522503,0,0
2011-05-16,99.36,99.65,96.89,97.37,367717,0,0
2011-05-17,96.98,97.81,95.02,96.91,335318,0,0
2011-05-18,97.57,100.99,97.46,100.1,399128,0,0
2011-05-19,99.76,100.79,98.16,98.44,285299,0,0
2011-05-20,98.6,99.9,95.99,99.49,142668,0,0
2011-05-23,99.68,100.04,96.37,97.7,394911,0,0
2011-05-24,97.54,100.09,96.61,99.59,296828,0,0
2011-05-25,99.27,101.63,98.2,101.32,339530,0,0
2011-05-26,101.24,101.9,99.61,100.23,354880,0,0
2011-05-27,100.16,101.24,100.04,100.59,332135,0,0
2011-05-31,100.69,103.39,99.6,102.7,212254,0,0
2011-06-01,102.68,103.31,99.86,100.29,319037,0,0
2011-06-02,99.79,100.9,98.46,100.4,376476,0,0
2011-06-03,100.87,100.87,98.12,100.22,389637,0,0
2011-06-06,100.42,100.68,98.55,99.01,351309,0,0
2011-06-07,98.82,99.7,97.74,99.09,289670,0,0
2011-06-08,99.58,101.89,98.02,100.74,415373,0,0
2011-06-09,100.83,102.44,100.74,101.93,484275,0,0
2011-06-10,101.84,102.15,98.6,99.29,345542,0,0
2011-06-13,98.77,99.32,96.13,97.3,379238,0,0
2011-06-14,97.09,99.44,96.51,99.37,381993,0,0
2011-06-15,99.68,99.95,94.01,94.81,347721,0,0
2011-06-16,95.29,95.75,94.29,94.95,508717,0,0
2011-06-17,95.1,95.4,91.84,93.01,336011,0,0
2011-06-20,92.8,93.49,91.14,93.26,245013,0,0
2011-06-21,93.49,94.74,92.5,93.4,136837,0,0
2011-06-22,93.76,95.7,93.24,95.41,323911,0,0
2011-06-23,94.4,94.47,89.69,91.02,296275,0,0
2011-06-24,92.29,92.34,89.82,91.16,484057,0,0
2011-06-27,91.16,91.3,89.61,90.61,337767,0,0
2011-06-28,90.71,92.96,90.44,92.89,278681,0,0
2011-06-29,93.37,95.84,92.66,94.77,279024,0,0
2011-06-30,95.08,95.82,93.88,95.42,348790,0,0
2011-07-01,95.12,95.39,93.45,94.94,276580,0,0
2011-07-05,94.98,97.48,94.34,96.89,263626,0,0
2011-07-06,97.0,97.79,95.9,96.65,275650,0,0
2011-07-07,97.04,99.42,96.99,98.67,288321,0,0
2011-07-08,98.79,99.18,95.6,96.2,339270,0,0
2011-07-11,96.1,96.75,94.14,95.15,347999,0,0
2011-07-12,95.09,97.5,93.55,97.43,311449,0,0
2011-07-13,96.72,99.21,96.53,98.05,343493,0,0
2011-07-14,97.59,98.88,94.53,95.69,355098,0,0
2011-07-15,96.03,97.74,95.21,97.24,403419,0,0
2011-07-18,97.37,97.69,94.69,95.93,266461,0,0
2011-07-19,96.16,98.65,95.93,97.5,203973,0,0
2011-07-20,98.11,99.02,96.64,98.14,138045,0,0
2011-07-21,98.36,100.16,97.2,99.13,295669,0,0
2011-07-22,99.2,100.19,98.43,99.87,293973,0,0
2011-07-25,99.76,99.87,98.52,99.2,223266,0,0
2011-07-26,99.15,100.62,97.76,99.59,205209,0,0
2011-07-27,99.18,99.5,97.14,97.4,332692,0,0
2011-07-28,97.27,98.01,96.51,97.44,304524,0,0
